,ACCT_ID_M,CUST_ID,STREAMING_SERVICE,ACCT_TYPE,SERVICE_TYPE,CONT_TENURE_MTHS,CUSTOMER_AGE,NUM_CUSTOMER_BILLABLE_ACCOUNTS,CONSUME_SPORTS_SUBSIDISED,TOTAL_DISCOUNT_PERCENT
2264653,8502875,16472861,NETFLIX,INDIVIDUAL,SPORTS,110,74.0,2,0,20
171345,7465375,14032751,NETFLIX,INDIVIDUAL,SPORTS,94,80.0,2,0,0
1725688,25215477,173563493,DISNEY,INDIVIDUAL,SPORTS,3,30.0,1,0,0
2080428,6586991,9791648,NETFLIX,INDIVIDUAL,SPORTS,83,29.0,1,0,17
2344473,7980379,10847759,NETFLIX,INDIVIDUAL,SPORTS,88,37.0,1,0,28
1455266,22463651,19693115,NETFLIX,INDIVIDUAL,SPORTS,24,35.0,2,0,0
188524,20565229,1946633,NETFLIX,INDIVIDUAL,ENTERTAINMENT,42,36.0,2,0,8
2219481,20179127,16271747,NETFLIX,INDIVIDUAL,SPORTS,45,71.0,1,0,0
709065,24115519,168086024,NETFLIX,INDIVIDUAL,SPORTS,11,33.0,1,0,0
580665,18363181,1280222,STAN,INDIVIDUAL,ENTERTAINMENT,59,50.0,2,0,29
2282205,8567373,18397688,NETFLIX,INDIVIDUAL,SPORTS,84,51.0,1,1,0
969,23717739,167201891,PARAMOUNT,INDIVIDUAL,ENTERTAINMENT,14,32.0,2,0,16
2246763,14250611,10745045,NETFLIX,INDIVIDUAL,SPORTS,102,84.0,2,0,17
991707,25496937,174238391,NETFLIX,INDIVIDUAL,SPORTS,1,32.0,1,0,0
212882,18105905,23575310,NETFLIX,INDIVIDUAL,SPORTS,64,70.0,1,0,32
1975351,19184625,20549489,NETFLIX,INDIVIDUAL,SPORTS,52,71.0,1,1,0
1324779,25474889,174196772,STAN,INDIVIDUAL,SPORTS,1,53.0,2,0,0
2255950,21082947,155623073,STAN,INDIVIDUAL,SPORTS,37,39.0,2,0,0
2006286,22449269,164247611,NETFLIX,INDIVIDUAL,ENTERTAINMENT,26,30.0,1,0,8
1317624,1403015,480041,NETFLIX,INDIVIDUAL,SPORTS,111,82.0,1,1,4
23425,24977627,171176546,DISNEY,INDIVIDUAL,SPORTS,5,67.0,2,1,0
1206883,19402201,69963098,NETFLIX,INDIVIDUAL,SPORTS,51,41.0,1,0,0
866339,23940081,12837398,NETFLIX,INDIVIDUAL,SPORTS,13,64.0,1,0,0
1576291,6196249,8122688,NETFLIX,INDIVIDUAL,SPORTS,112,75.0,1,1,0
2109591,14384277,2465963,AMAZON PRIME,INDIVIDUAL,ENTERTAINMENT,146,47.0,2,0,16
1357927,23125253,13272539,STAN,INDIVIDUAL,SPORTS,19,57.0,2,0,0
1989359,226755,8358536,NETFLIX,INDIVIDUAL,ENTERTAINMENT,77,45.0,2,0,3
945168,1133013,695792,NETFLIX,INDIVIDUAL,ENTERTAINMENT,115,56.0,2,0,8
1657677,18516659,23962349,STAN,INDIVIDUAL,SPORTS,57,51.0,2,1,0
594559,21187279,126027743,NETFLIX,FAMILY ACCT,SPORTS,36,,1,0,21
2191737,11069827,462461,NETFLIX,INDIVIDUAL,SPORTS,79,49.0,2,0,24
1559119,25269129,173661308,STAN,INDIVIDUAL,ENTERTAINMENT,2,34.0,2,0,33
548268,16740317,14106383,STAN,INDIVIDUAL,ENTERTAINMENT,93,30.0,2,0,17
240426,24164285,119678909,NETFLIX,INDIVIDUAL,ENTERTAINMENT,11,71.0,2,0,0
487009,5796689,9203201,NETFLIX,INDIVIDUAL,SPORTS,112,47.0,1,1,0
1471,23746569,167234354,NETFLIX,INDIVIDUAL,SPORTS,14,45.0,1,1,24
1439343,2609375,4267391,NETFLIX,INDIVIDUAL,SPORTS,110,60.0,1,0,12
862224,24494655,169269932,NETFLIX,INDIVIDUAL,SPORTS,9,41.0,1,0,0
854025,8636827,12586910,STAN,INDIVIDUAL,ENTERTAINMENT,85,38.0,2,0,34
680839,25525929,174297131,NETFLIX,INDIVIDUAL,SPORTS,0,46.0,1,0,0
1836459,24684851,5035715,NETFLIX,INDIVIDUAL,ENTERTAINMENT,7,53.0,4,0,0
1489022,25388655,9480539,STAN,INDIVIDUAL,SPORTS,2,57.0,1,0,0
406151,24794481,166423154,NETFLIX,INDIVIDUAL,SPORTS,6,38.0,6,0,0
186131,24688829,169921352,STAN,INDIVIDUAL,ENTERTAINMENT,8,71.0,1,0,22
1872194,14423361,3847451,STAN,INDIVIDUAL,ENTERTAINMENT,111,84.0,2,0,0
204598,25480175,174201989,STAN,INDIVIDUAL,ENTERTAINMENT,1,20.0,2,0,12
568871,24220833,69292904,NETFLIX,FAMILY ACCT,SPORTS,11,,3,0,14
407296,7625429,14289752,NETFLIX,INDIVIDUAL,ENTERTAINMENT,74,61.0,1,0,8
780733,15902195,12355913,DISNEY,INDIVIDUAL,SPORTS,111,77.0,1,1,21
153073,2890731,3781022,DISNEY,INDIVIDUAL,SPORTS,82,31.0,1,0,10
1098135,12336995,10810844,NETFLIX,INDIVIDUAL,SPORTS,111,107.0,1,0,0
216352,17309577,20402234,STAN,INDIVIDUAL,ENTERTAINMENT,67,91.0,1,0,15
1860039,21172317,160572056,NETFLIX,INDIVIDUAL,SPORTS,36,50.0,2,0,0
591745,22861009,1636943,STAN,INDIVIDUAL,ENTERTAINMENT,21,27.0,1,0,22
1175654,23819051,69653057,PARAMOUNT,INDIVIDUAL,ENTERTAINMENT,14,50.0,2,0,17
960081,20583385,1325597,NETFLIX,INDIVIDUAL,SPORTS,42,55.0,1,0,0
851522,10596245,13268054,NETFLIX,INDIVIDUAL,SPORTS,110,55.0,2,0,0
1960254,20348359,15743270,STAN,INDIVIDUAL,SPORTS,43,45.0,2,0,11
1913665,1168055,1868936,NETFLIX,INDIVIDUAL,SPORTS,95,37.0,2,0,18
1001400,22677307,164920142,STAN,FAMILY ACCT,SPORTS,23,,2,0,5
219972,19245379,69803843,NETFLIX,INDIVIDUAL,SPORTS,52,49.0,2,0,0
1326845,22183843,163200131,NETFLIX,INDIVIDUAL,ENTERTAINMENT,25,51.0,2,0,8
1941400,1503389,2688575,NETFLIX,INDIVIDUAL,ENTERTAINMENT,112,53.0,1,0,8
1601210,5698305,4607297,STAN,INDIVIDUAL,SPORTS,143,72.0,1,0,0
563129,21784675,160586261,DISNEY,INDIVIDUAL,SPORTS,30,71.0,1,1,0
927296,19383467,20329607,DISNEY,INDIVIDUAL,SPORTS,51,66.0,1,1,28
1122977,25384623,173895587,STAN,INDIVIDUAL,SPORTS,2,50.0,1,0,0
707159,21091971,155695991,NETFLIX,FAMILY ACCT,SPORTS,37,,1,0,21
272911,21865389,162668900,NETFLIX,INDIVIDUAL,SPORTS,29,44.0,1,0,0
841428,17360563,20451707,STAN,INDIVIDUAL,SPORTS,65,86.0,2,0,25
610640,988487,2375750,DISNEY,INDIVIDUAL,SPORTS,71,38.0,1,0,0
1787992,21095597,17288699,NETFLIX,INDIVIDUAL,ENTERTAINMENT,36,36.0,2,0,8
699815,24689607,10943696,STAN,INDIVIDUAL,SPORTS,7,34.0,2,0,0
1058297,19717365,123652550,NETFLIX,INDIVIDUAL,SPORTS,48,35.0,2,1,0
2056160,24847529,170574644,DISNEY,INDIVIDUAL,SPORTS,5,35.0,1,1,0
2141630,19999713,69128261,STAN,INDIVIDUAL,ENTERTAINMENT,47,55.0,2,0,28
57195,25219023,22606748,NETFLIX,INDIVIDUAL,SPORTS,3,49.0,3,0,0
1138423,23215365,7057682,DISNEY,INDIVIDUAL,SPORTS,18,27.0,1,1,0
1632440,25259725,173649467,STAN,INDIVIDUAL,ENTERTAINMENT,2,80.0,2,0,36
905516,20965419,17699999,AMAZON PRIME,INDIVIDUAL,SPORTS,37,70.0,1,0,13
943323,19158353,69719918,STAN,INDIVIDUAL,ENTERTAINMENT,53,89.0,2,0,34
20662,24232687,7453217,NETFLIX,INDIVIDUAL,SPORTS,10,48.0,2,0,0
814598,14609751,16239014,NETFLIX,INDIVIDUAL,SPORTS,110,55.0,1,1,30
1201900,3576725,19266056,STAN,INDIVIDUAL,SPORTS,147,77.0,1,0,0
2167961,23903355,167553014,NETFLIX,INDIVIDUAL,ENTERTAINMENT,13,45.0,2,0,16
2296760,24870601,165648518,NETFLIX,INDIVIDUAL,SPORTS,5,27.0,2,0,0
2213984,17582525,20651078,STAN,INDIVIDUAL,ENTERTAINMENT,65,41.0,2,0,25
2057959,24063459,11068454,DISNEY,INDIVIDUAL,SPORTS,12,47.0,1,0,0
1880630,261231,14732912,STAN,INDIVIDUAL,ENTERTAINMENT,90,84.0,1,0,13
1413554,25569513,174295082,STAN,INDIVIDUAL,SPORTS,0,58.0,2,0,0
561999,1783331,18612830,NETFLIX,INDIVIDUAL,ENTERTAINMENT,137,60.0,2,0,3
1186042,18001719,411257,STAN,INDIVIDUAL,SPORTS,62,47.0,1,0,25
2138537,20367705,126143714,NETFLIX,INDIVIDUAL,SPORTS,43,56.0,1,1,34
513765,22841935,126009887,DISNEY,INDIVIDUAL,SPORTS,22,25.0,1,1,0
2083343,18773079,69324971,STAN,INDIVIDUAL,SPORTS,56,48.0,2,1,0
782311,10107863,1177772,NETFLIX,INDIVIDUAL,SPORTS,112,,1,0,0
1148687,1455055,11074793,NETFLIX,INDIVIDUAL,SPORTS,112,65.0,1,0,4
1864757,15204345,14165267,NETFLIX,INDIVIDUAL,SPORTS,93,36.0,2,0,26
2062884,1055737,13296224,NETFLIX,INDIVIDUAL,SPORTS,113,51.0,2,0,0
926896,25074349,173281997,STAN,INDIVIDUAL,SPORTS,3,23.0,1,0,0
1707996,25378965,163283666,NETFLIX,INDIVIDUAL,SPORTS,1,27.0,4,0,0
246884,15237351,17327459,NETFLIX,INDIVIDUAL,SPORTS,110,81.0,1,0,4
412735,4473901,7383209,NETFLIX,INDIVIDUAL,SPORTS,112,73.0,1,0,24
2058019,24635431,169831691,STAN,INDIVIDUAL,ENTERTAINMENT,7,50.0,2,0,24
1683181,6900703,19056089,NETFLIX,INDIVIDUAL,ENTERTAINMENT,95,41.0,2,0,25
1667038,4478415,10546052,NETFLIX,INDIVIDUAL,SPORTS,112,59.0,3,0,0
300369,20942477,125088605,STAN,INDIVIDUAL,ENTERTAINMENT,38,61.0,2,0,13
989662,17840627,22396475,STAN,INDIVIDUAL,SPORTS,63,47.0,2,0,0
1510198,3204557,14351387,NETFLIX,INDIVIDUAL,SPORTS,110,45.0,2,0,4
51480,1876989,4095080,NETFLIX,INDIVIDUAL,SPORTS,110,,1,0,0
2046357,19714541,123650957,NETFLIX,FAMILY ACCT,SPORTS,49,,1,0,26
604025,21277319,4600457,NETFLIX,INDIVIDUAL,ENTERTAINMENT,35,38.0,2,0,8
31726,19185011,69747710,STAN,INDIVIDUAL,ENTERTAINMENT,49,39.0,1,0,34
1282734,20223301,125862269,STAN,INDIVIDUAL,ENTERTAINMENT,45,45.0,2,0,22
73237,22899533,69415754,NETFLIX,INDIVIDUAL,SPORTS,20,28.0,3,1,0
1445387,22447721,164244557,NETFLIX,INDIVIDUAL,SPORTS,25,43.0,1,0,0
1946835,23451697,166682504,NETFLIX,INDIVIDUAL,SPORTS,16,40.0,2,0,0
2148202,22719955,9148991,NETFLIX,INDIVIDUAL,SPORTS,22,39.0,2,0,0
1949646,24649401,169837751,AMAZON PRIME,INDIVIDUAL,SPORTS,7,22.0,2,0,0
217583,22246129,163662545,STAN,INDIVIDUAL,ENTERTAINMENT,26,31.0,1,0,13
1937519,3283469,18617945,STAN,INDIVIDUAL,ENTERTAINMENT,147,69.0,2,0,22
2058322,25481357,174206081,STAN,INDIVIDUAL,SPORTS,1,35.0,2,0,0
1099644,18982287,3979385,NETFLIX,INDIVIDUAL,SPORTS,54,78.0,2,0,25
2050241,25559227,166931573,NETFLIX,INDIVIDUAL,ENTERTAINMENT,0,30.0,4,0,8
1857798,22707571,164987984,STAN,INDIVIDUAL,SPORTS,22,31.0,2,0,0
1411338,19008873,69550331,NETFLIX,INDIVIDUAL,ENTERTAINMENT,53,48.0,2,0,0
1135837,15348939,9846464,STAN,INDIVIDUAL,SPORTS,145,86.0,2,1,0
1064973,23879637,167380247,STAN,INDIVIDUAL,ENTERTAINMENT,12,74.0,2,0,35
1390815,25200525,15265718,NETFLIX,INDIVIDUAL,SPORTS,3,27.0,4,0,0
1628523,21123157,160396661,NETFLIX,INDIVIDUAL,SPORTS,36,75.0,1,0,0
1392483,413139,5021732,NETFLIX,INDIVIDUAL,ENTERTAINMENT,112,68.0,2,0,8
577178,17082187,20191160,AMAZON PRIME,INDIVIDUAL,SPORTS,69,59.0,2,0,12
1893878,25090719,151272194,NETFLIX,INDIVIDUAL,SPORTS,3,36.0,3,0,0
1037808,18431459,15125171,NETFLIX,INDIVIDUAL,SPORTS,58,80.0,1,0,0
1468033,25193563,173504210,NETFLIX,INDIVIDUAL,SPORTS,2,27.0,1,1,0
1048197,24679453,20141321,NETFLIX,INDIVIDUAL,SPORTS,7,61.0,2,0,0
485049,3316555,12249812,NETFLIX,INDIVIDUAL,ENTERTAINMENT,111,74.0,2,0,8
1431120,24883115,170865446,STAN,INDIVIDUAL,ENTERTAINMENT,5,28.0,2,0,22
1699220,12264243,6127094,NETFLIX,INDIVIDUAL,SPORTS,89,59.0,1,0,16
2185406,23722777,167204978,STAN,INDIVIDUAL,ENTERTAINMENT,14,37.0,1,0,33
1747543,17597999,17276687,STAN,FAMILY ACCT,SPORTS,65,,1180,0,0
302938,6657655,9660164,NETFLIX,INDIVIDUAL,SPORTS,112,63.0,2,0,0
111872,23634935,167027261,STAN,INDIVIDUAL,ENTERTAINMENT,14,27.0,2,0,35
639970,6404533,1019036,NETFLIX,INDIVIDUAL,SPORTS,112,,1,0,0
2083089,20524921,69362174,NETFLIX,INDIVIDUAL,SPORTS,42,47.0,2,0,26
1552304,4129555,1569941,NETFLIX,INDIVIDUAL,SPORTS,96,63.0,2,0,28
2348394,8424621,5066132,AMAZON PRIME,INDIVIDUAL,SPORTS,148,55.0,1,0,24
772181,25165773,20174321,NETFLIX,INDIVIDUAL,SPORTS,3,27.0,1,0,0
701723,24991165,173096051,STAN,INDIVIDUAL,SPORTS,5,56.0,2,1,0
1046443,22762923,19566305,NETFLIX,INDIVIDUAL,ENTERTAINMENT,22,33.0,2,0,17
455419,20987085,155408888,STAN,INDIVIDUAL,ENTERTAINMENT,36,34.0,2,0,22
1544900,25164401,5149637,STAN,INDIVIDUAL,ENTERTAINMENT,3,66.0,1,0,17
763220,775011,17413625,NETFLIX,INDIVIDUAL,SPORTS,86,35.0,1,0,0
2191101,21100843,10763486,STAN,INDIVIDUAL,SPORTS,37,78.0,2,0,0
1949239,25296083,173692913,NETFLIX,INDIVIDUAL,SPORTS,2,28.0,1,0,0
1119160,12101023,15058322,NETFLIX,INDIVIDUAL,SPORTS,111,88.0,1,0,0
1877992,18258475,23722364,STAN,INDIVIDUAL,SPORTS,60,62.0,2,1,10
767329,21914857,11692289,STAN,INDIVIDUAL,SPORTS,29,43.0,2,0,0
1758674,2604549,15292487,STAN,INDIVIDUAL,ENTERTAINMENT,91,68.0,1,0,0
1061252,8030703,18719483,NETFLIX,INDIVIDUAL,SPORTS,112,82.0,1,0,24
456165,19438885,70002317,NETFLIX,INDIVIDUAL,SPORTS,50,,1,0,28
689879,9549545,9211547,STAN,INDIVIDUAL,SPORTS,113,69.0,1,1,34
1453459,24835021,106994,NETFLIX,INDIVIDUAL,SPORTS,5,77.0,1,0,0
792328,23507673,166802837,NETFLIX,FAMILY ACCT,SPORTS,16,,1,0,0
1008788,24767561,1014146,NETFLIX,INDIVIDUAL,SPORTS,7,51.0,2,1,0
2262989,365765,18608180,NETFLIX,INDIVIDUAL,ENTERTAINMENT,112,,2,0,4
682861,22844107,160842038,NETFLIX,INDIVIDUAL,ENTERTAINMENT,21,39.0,2,0,8
319642,21682163,17477555,STAN,INDIVIDUAL,SPORTS,30,47.0,2,0,0
629155,18903783,23923529,NETFLIX,INDIVIDUAL,ENTERTAINMENT,55,38.0,2,0,0
802037,19510375,6106895,NETFLIX,INDIVIDUAL,ENTERTAINMENT,47,51.0,2,0,28
1682863,19587895,17171312,STAN,INDIVIDUAL,SPORTS,49,42.0,2,0,0
1315021,12073447,13757834,NETFLIX,INDIVIDUAL,SPORTS,112,65.0,2,0,4
1450732,25083077,173297924,NETFLIX,INDIVIDUAL,SPORTS,4,36.0,1,0,0
1291343,7807939,13236176,STAN,FAMILY ACCT,SPORTS,93,,1,0,0
981109,12897867,6098867,STAN,INDIVIDUAL,SPORTS,82,69.0,2,0,0
543541,24823745,3731504,NETFLIX,INDIVIDUAL,ENTERTAINMENT,5,74.0,2,0,17
579669,10095537,10689326,NETFLIX,INDIVIDUAL,ENTERTAINMENT,108,41.0,2,0,8
1967475,25561905,164928476,NETFLIX,INDIVIDUAL,ENTERTAINMENT,0,36.0,4,0,8
1900711,12853691,16261688,STAN,INDIVIDUAL,SPORTS,77,35.0,1,1,0
311479,23321567,166425146,STAN,INDIVIDUAL,ENTERTAINMENT,17,57.0,2,0,33
20108,24674695,168493232,NETFLIX,INDIVIDUAL,SPORTS,8,19.0,2,0,0
393312,17697479,20754917,NETFLIX,INDIVIDUAL,ENTERTAINMENT,64,36.0,2,0,8
422442,25096607,169769852,NETFLIX,INDIVIDUAL,ENTERTAINMENT,3,67.0,4,0,16
314512,24574931,169601051,NETFLIX,INDIVIDUAL,ENTERTAINMENT,6,43.0,2,0,16
880869,24672489,16961267,NETFLIX,INDIVIDUAL,SPORTS,7,65.0,2,0,0
2260828,24538715,169357865,DISNEY,INDIVIDUAL,SPORTS,8,51.0,1,0,0
717690,25116021,173364656,STAN,INDIVIDUAL,SPORTS,4,38.0,2,1,0
1294908,5913213,6058901,NETFLIX,INDIVIDUAL,SPORTS,113,52.0,1,0,4
1681307,13112345,5619014,NETFLIX,INDIVIDUAL,SPORTS,110,77.0,2,0,0
1564423,22253209,18316670,NETFLIX,INDIVIDUAL,SPORTS,26,35.0,2,0,0
246334,22666951,164589818,NETFLIX,INDIVIDUAL,ENTERTAINMENT,23,22.0,2,0,8
989456,12383399,816113,NETFLIX,INDIVIDUAL,SPORTS,113,48.0,2,0,0
2217118,14491555,15794372,NETFLIX,INDIVIDUAL,ENTERTAINMENT,112,73.0,2,0,8
74039,24715075,170146709,DISNEY,INDIVIDUAL,SPORTS,7,45.0,1,1,0
579763,22037147,6154277,NETFLIX,INDIVIDUAL,ENTERTAINMENT,27,63.0,2,0,8
2151413,25575965,174353381,NETFLIX,FAMILY ACCT,SPORTS,2,,1,0,0
724691,18874735,12180101,STAN,INDIVIDUAL,ENTERTAINMENT,55,38.0,2,0,34
745970,1965611,6396158,STAN,INDIVIDUAL,SPORTS,111,59.0,2,0,7
1080839,19903089,124391549,STAN,INDIVIDUAL,ENTERTAINMENT,47,53.0,2,0,13
2091645,5957181,6665120,PARAMOUNT,INDIVIDUAL,ENTERTAINMENT,74,38.0,3,0,7
1725076,23807647,5168639,STAN,INDIVIDUAL,SPORTS,14,43.0,3,0,14
934748,19227505,69785630,NETFLIX,INDIVIDUAL,ENTERTAINMENT,52,35.0,2,0,26
1856476,25138077,678545,NETFLIX,INDIVIDUAL,SPORTS,3,53.0,2,0,0
1700724,17568243,20638982,STAN,INDIVIDUAL,SPORTS,65,28.0,2,1,0
386306,24412395,1130093,NETFLIX,INDIVIDUAL,SPORTS,9,36.0,4,0,0
2046595,16282197,9082517,NETFLIX,INDIVIDUAL,ENTERTAINMENT,136,42.0,2,0,17
1937561,10851031,19349036,STAN,INDIVIDUAL,SPORTS,148,46.0,2,1,20
894440,16822635,10912379,STAN,INDIVIDUAL,SPORTS,146,79.0,2,0,12
2104049,20139301,125441489,STAN,INDIVIDUAL,ENTERTAINMENT,46,42.0,2,0,11
734734,25433705,174121163,STAN,INDIVIDUAL,SPORTS,1,58.0,2,0,0
42619,14313585,3488774,STAN,INDIVIDUAL,SPORTS,146,69.0,2,0,14
116444,19850265,123815540,NETFLIX,INDIVIDUAL,SPORTS,47,44.0,1,0,0
98172,2477957,8594027,STAN,INDIVIDUAL,ENTERTAINMENT,108,36.0,2,0,14
1192047,17848955,5726354,NETFLIX,INDIVIDUAL,SPORTS,67,77.0,1,0,0
1549239,18552917,7469963,NETFLIX,INDIVIDUAL,SPORTS,57,69.0,1,0,0
109114,21058225,126123881,NETFLIX,INDIVIDUAL,SPORTS,37,44.0,2,0,0
1578096,25110925,173361350,NETFLIX,INDIVIDUAL,SPORTS,5,74.0,1,0,0
1429395,21101527,9246212,STAN,INDIVIDUAL,ENTERTAINMENT,36,65.0,2,0,34
123851,14945099,11235377,STAN,FAMILY ACCT,SPORTS,111,,1,0,0
2217549,22576805,164582564,NETFLIX,INDIVIDUAL,SPORTS,24,33.0,2,0,0
1833611,16042799,963299,NETFLIX,INDIVIDUAL,ENTERTAINMENT,94,78.0,2,0,8
1865228,21939851,9628988,STAN,INDIVIDUAL,ENTERTAINMENT,29,45.0,2,0,23
1088533,1759791,12589721,NETFLIX,INDIVIDUAL,SPORTS,73,43.0,1,0,0
2021454,23119573,4775417,DISNEY,INDIVIDUAL,SPORTS,19,59.0,1,0,0
1249768,24143919,10662485,NETFLIX,INDIVIDUAL,SPORTS,11,36.0,2,0,0
976635,23088873,165873614,NETFLIX,INDIVIDUAL,SPORTS,18,66.0,2,1,0
1553008,15117239,17860904,NETFLIX,INDIVIDUAL,ENTERTAINMENT,111,87.0,2,0,16
1430196,22729423,22406813,NETFLIX,INDIVIDUAL,ENTERTAINMENT,22,45.0,2,0,8
2065991,12019933,8460236,STAN,INDIVIDUAL,SPORTS,109,74.0,1,1,0
2194975,12915153,15877901,STAN,INDIVIDUAL,SPORTS,146,82.0,2,0,12
1150863,21375511,161249192,STAN,INDIVIDUAL,ENTERTAINMENT,34,63.0,2,0,11
1979361,2729259,13206488,NETFLIX,INDIVIDUAL,SPORTS,110,60.0,1,0,0
292907,2055273,7466510,NETFLIX,INDIVIDUAL,SPORTS,115,66.0,2,0,27
1297232,2412529,6771395,STAN,INDIVIDUAL,SPORTS,112,61.0,2,1,0
427774,1271137,15435983,NETFLIX,INDIVIDUAL,ENTERTAINMENT,110,58.0,1,0,0
506187,3814351,9233246,NETFLIX,INDIVIDUAL,ENTERTAINMENT,113,59.0,2,0,8
2260554,25586403,174371357,NETFLIX,INDIVIDUAL,SPORTS,2,48.0,1,0,0
593513,18638351,8473556,STAN,INDIVIDUAL,SPORTS,57,67.0,1,0,0
243645,16870863,15152381,STAN,INDIVIDUAL,SPORTS,146,59.0,2,0,38
1759305,21523699,123639323,NETFLIX,INDIVIDUAL,ENTERTAINMENT,32,32.0,2,0,8
1934018,125661,19773425,STAN,INDIVIDUAL,ENTERTAINMENT,137,60.0,5,0,18
191773,22300473,4296638,NETFLIX,INDIVIDUAL,SPORTS,26,78.0,1,0,0
753655,23414867,166613180,NETFLIX,INDIVIDUAL,ENTERTAINMENT,17,32.0,2,0,8
795254,9285625,2790092,STAN,INDIVIDUAL,ENTERTAINMENT,104,64.0,2,0,38
2241096,24796365,124214462,AMAZON PRIME,INDIVIDUAL,SPORTS,5,66.0,2,0,0
2247484,16774215,3233147,AMAZON PRIME,INDIVIDUAL,SPORTS,130,69.0,1,0,10
2218222,7542033,2386781,NETFLIX,FAMILY ACCT,SPORTS,112,79.0,2,0,22
1913325,2936147,8995262,NETFLIX,INDIVIDUAL,ENTERTAINMENT,111,62.0,2,0,4
1258606,21259861,23859767,STAN,INDIVIDUAL,ENTERTAINMENT,34,32.0,2,0,13
574644,17856233,22413434,NETFLIX,FAMILY ACCT,SPORTS,72,,1,0,0
1493164,15272075,18385907,NETFLIX,INDIVIDUAL,SPORTS,111,78.0,1,0,4
1064745,4081289,14855420,STAN,INDIVIDUAL,SPORTS,117,72.0,2,1,0
2137715,21767929,1577966,NETFLIX,INDIVIDUAL,ENTERTAINMENT,29,77.0,2,0,8
2205096,23603581,69881789,NETFLIX,INDIVIDUAL,SPORTS,15,35.0,2,0,0
1796900,22683675,9059795,NETFLIX,INDIVIDUAL,SPORTS,23,43.0,2,0,0
434152,17448139,14995046,NETFLIX,INDIVIDUAL,SPORTS,66,65.0,1,0,20
1541216,24694251,170123339,NETFLIX,INDIVIDUAL,SPORTS,7,24.0,2,0,0
637634,7361373,19607813,NETFLIX,INDIVIDUAL,SPORTS,110,,1,0,0
1310406,1638273,790643,STAN,INDIVIDUAL,ENTERTAINMENT,147,55.0,2,0,28
2166213,24712623,124204898,STAN,INDIVIDUAL,SPORTS,6,32.0,4,0,0
1644906,12804091,6412553,AMAZON PRIME,INDIVIDUAL,ENTERTAINMENT,97,35.0,2,0,7
1288561,24918637,170995307,NETFLIX,INDIVIDUAL,SPORTS,4,30.0,1,0,0
1960520,16711523,658067,NETFLIX,INDIVIDUAL,SPORTS,113,74.0,1,0,0
919231,22977047,165625151,NETFLIX,INDIVIDUAL,ENTERTAINMENT,20,61.0,2,0,8
1845194,11585795,736016,STAN,INDIVIDUAL,SPORTS,95,38.0,2,0,25
593525,17589493,20649971,AMAZON PRIME,INDIVIDUAL,SPORTS,64,37.0,2,1,12
1000853,3627477,14360333,NETFLIX,INDIVIDUAL,SPORTS,112,76.0,1,0,0
1479972,15219581,18079793,STAN,INDIVIDUAL,SPORTS,147,55.0,2,0,0
1326733,19933969,119677454,STAN,INDIVIDUAL,SPORTS,47,39.0,2,0,14
465136,19821981,123921503,NETFLIX,INDIVIDUAL,SPORTS,48,68.0,2,0,0
164419,22030123,15345017,STAN,INDIVIDUAL,SPORTS,28,35.0,2,0,0
1021504,21975351,163018895,STAN,INDIVIDUAL,SPORTS,28,31.0,2,0,0
1567833,22634817,161180144,NETFLIX,INDIVIDUAL,ENTERTAINMENT,23,35.0,2,0,8
1841095,19855185,816980,STAN,INDIVIDUAL,SPORTS,47,81.0,2,1,0
2000299,25001525,163894901,NETFLIX,INDIVIDUAL,ENTERTAINMENT,5,66.0,2,0,16
213084,8089843,13161017,NETFLIX,INDIVIDUAL,SPORTS,104,65.0,2,0,0
831039,7280609,9464681,NETFLIX,INDIVIDUAL,SPORTS,113,49.0,1,0,4
2273532,8106413,7597928,STAN,INDIVIDUAL,SPORTS,101,33.0,2,0,34
836202,21455475,15127316,NETFLIX,INDIVIDUAL,ENTERTAINMENT,31,33.0,1,0,8
1372446,2892091,12071903,STAN,INDIVIDUAL,ENTERTAINMENT,143,50.0,2,0,2
552168,24546747,169367522,NETFLIX,INDIVIDUAL,SPORTS,8,26.0,2,0,0
63480,22010737,18391682,NETFLIX,INDIVIDUAL,SPORTS,27,37.0,1,0,0
1098645,17158987,20266763,NETFLIX,INDIVIDUAL,SPORTS,67,44.0,2,0,20
397724,8828091,8498819,NETFLIX,INDIVIDUAL,SPORTS,85,70.0,1,0,18
1822813,9098433,8286671,NETFLIX,INDIVIDUAL,ENTERTAINMENT,113,41.0,9,0,17
1372855,15650293,16533935,STAN,INDIVIDUAL,SPORTS,116,39.0,3,0,42
1576677,18735467,20410850,STAN,INDIVIDUAL,ENTERTAINMENT,56,39.0,4,0,35
247367,12345475,13511786,STAN,INDIVIDUAL,SPORTS,146,75.0,2,1,0
1756367,20951775,155323478,NETFLIX,INDIVIDUAL,SPORTS,37,73.0,1,0,0
1074718,21387579,9645206,STAN,INDIVIDUAL,ENTERTAINMENT,31,57.0,2,0,22
1566565,4497167,2680856,STAN,INDIVIDUAL,SPORTS,147,78.0,2,1,8
1312369,13575961,19733270,STAN,INDIVIDUAL,SPORTS,144,64.0,1,0,0
987827,3079159,4294430,STAN,INDIVIDUAL,SPORTS,112,33.0,2,0,0
1174582,22891087,14647061,NETFLIX,FAMILY ACCT,SPORTS,18,,18,0,0
